Manufacturer,Model Number,Model Name,Serial ID,Connectors Sense/Pace,Polarity,Fixation,Placement,Outer Insulation,Location
"Biotronick, Inc.",,DNR-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNR-60-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,DNR-60-VSUP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,Dy-53-UP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,Dy-60-UP,,IS-1,UNI,Fixed Screw,ENDO,SIL,RV
"Biotronick, Inc.",,Dy-60-VSUP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,DyC-53-UP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,DyC-60-UP,,IS-1,UNI,Helical Coil,ENDO,SIL,RV
"Biotronick, Inc.",,DyC-60-VSUP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,ELC-35/S-UP,,IS-1,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,ELC-54/S-UP,,IS-1,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,ELC-54-A,,5 mm,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,FH-45-BP,,IS-1,BI,Sickle Hooks,ENDO,SIL,RV
"Biotronick, Inc.",,FH-53-BP,,IS-1,BI,Sickle Hooks,ENDO,SIL,RA/RV
"Biotronick, Inc.",,FH-60-BP,,IS-1,BI,Sickle Hooks,ENDO,SIL,RV
"Biotronick, Inc.",,FH-60-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,FH-60-VSBP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,FH-60-VSUP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,ILK-35-A,,5 mm,UNI,UNK,UNK,SIL,UNK
"Biotronick, Inc.",,JP-45-BP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,JP-53-BP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,JP-60-BP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,K-10-60-A,,5 mm,UNI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,K-60-ABP,,5 mm Bif,BI,Wedge,ENDO,SIL,RV
"Biotronick, Inc.",,MEROX 45-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,MEROX 53-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,MEROX 53-JBP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,MEROX 60-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,ML-150,,5 mm,UNI,Screw,EPI,SIL,RA/RV
"Biotronick, Inc.",,ML-151,,5 mm,UNI,Screw,EPI,SIL,RA/RV
"Biotronick, Inc.",,ML-160,,IS-1,UNI,Screw,EPI,SIL,RA/RV
"Biotronick, Inc.",,ML-161,,IS-1,UNI,Screw,EPI,SIL,RA/RV
"Biotronick, Inc.",,MX-50/01-BP,,IS-1,BI,Passive,UNK,SIL,UNK
"Biotronick, Inc.",,MX-50/02-BP,,IS-1,BI,Passive,UNK,SIL,UNK
"Biotronick, Inc.",,N-60/2-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,N-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,N-60-ABP,,5 mm Bif,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,N-60-B,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,N-60-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,N-60-VSBP,,IS-1,BI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,NE-60-KS-10,,,UNI,Wedge,ENDO,SIL,RV
"Biotronick, Inc.",,NP-53-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,NP-60-ABP,,5 mm Bif,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,NP-60-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,NP-60-VSBP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,NP-85-BP,,IS-1,BI,Passive,UNK,UNK,UNK
"Biotronick, Inc.",,NP-T-60-UP,,IS-1/Thermistor,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,NT-60-A,,5 mm/Thermistor,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,NT-60-UP,,IS-1,UNI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,NT-60-VSUP,,IS-1/Thermistor,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PE-35/4-ILK,,5 mm,UNI,None,UNK,SIL,UNK
"Biotronick, Inc.",,PE-50/4-DM,,5 mm,UNI,Suture,EPI,SIL,UNK
"Biotronick, Inc.",,PE-60/2-I2,,5 mm,UNI,Prongs,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-I3,,5 mm,UNI,Prongs,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-DN,,5 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-FH,,5 mm,UNI,Sickle Hooks,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-K,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-K-10,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-KB,,5 mm,UNI,Wedge/Ball Tip,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/2-N,,5 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/3-DJ,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,PE-60/3-DJP,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,PE-60/3-J,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,PE-60/4-D,,5 mm,UNI,Blunt Cylinder,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-D2-K,,5 mm,UNI,Double Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DFH,,5 mm,UNI,Sickle Hooks,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DN,,5 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DNB,,5 mm,UNI,Tines/Ball Tip,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DNP,,5 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DNR,,5 mm,UNI,UNI,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-Dy,,5 mm,UNI,Fixed Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-DyC,,5 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PE-60/4-FH,,5 mm,UNI,Sickle Hooks,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-K-10,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-N,,5 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-y,,5 mm,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,PE-60/4-y2,,5 mm,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,PE-60/4-yC,,5 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PE-60/4-yC2,,5 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PE-60/4-yR,,5 mm,UNI,Retract. Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60/4-yR-2,,5 mm,UNI,Retract. Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60-I-2,,5 mm,UNI,Prongs,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-60-J,,5 mm,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,PE-85/2-K,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/2-K-10,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/2-KB,,5 mm,UNI,Wedge/Ball Tip,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/4-DN,,5 mm,UNI,Passive,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/4-Dy,,5 mm,UNI,Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/4-DyC,,5 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PE-85/4-K10,,5 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85/4-yR-2,,5 mm,UNI,Retract. Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PE-85-I-2,,5 mm,UNI,Prongs,ENDO,SIL,UNK
"Biotronick, Inc.",,PEB-60/3-N,,5 mm Bif,BI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEB-60/4-N,,5 mm Bif,BI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEB-85/3-N,,5 mm Bif,BI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEB-85/4-N,,5 mm Bif,BI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/2-DN,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/2-I2,,6 mm,UNI,Prongs,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/2-K,,6 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/2-K-10,,6 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/2-N,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/3-DJ,,6 mm,UNI,Passive,ENDO,UNK,UNK
"Biotronick, Inc.",,PEC-60/3-DJP,,6 mm,UNI,Passive,ENDO,UNK,UNK
"Biotronick, Inc.",,PEC-60/4-D2-K,,6 mm,UNI,Double Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DFH,,6 mm,UNI,Sickle Hooks,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DN,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DNB,,6 mm,UNI,Tines/Ball Tip,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DNP,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DNR,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-Dy,,6 mm,UNI,Fixed Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-DyC,,6 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-FH,,6 mm,UNI,Sickle Hooks,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-K,,6 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-K-10,,6 mm,UNI,Wedge,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-N,,6 mm,UNI,Tines,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-y,,6 mm,UNI,Screw,UNK,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-y2,,6 mm,UNI,Screw,ENDO,UNK,UNK
"Biotronick, Inc.",,PEC-60/4-yC,,6 mm,UNI,Helix,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-yC-2,,6 mm,UNI,Helical Coil,UNK,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-yR,,6 mm,UNI,Retract. Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,PEC-60/4-yR-2,,6 mm,UNI,Retract. Screw,ENDO,SIL,UNK
"Biotronick, Inc.",,Polyrox PX-53-JUP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,Polyrox PX-53-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,Polyrox PX-60-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,PS-53-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-53-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-53-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-60-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-60-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,PS-60-VSBP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,PS-60-VSUP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,Py-52,,5 mm,UNI,Screw-In,UNK,UNK,RA/RV
"Biotronick, Inc.",,Py-58,,5 mm,UNI,Screw-In,UNK,UNK,RA/RV
"Biotronick, Inc.",,Py-58-BV,,VS-1,BI,Screw-In,UNK,UNK,RA/RV
"Biotronick, Inc.",,Py-58-V,,VS-1,UNI,Screw-In,UNK,UNK,RA/RV
"Biotronick, Inc.",,SD-60-BP,,IS-1,BI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,SD-60-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,SL-60/11-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/11-UP,,IS-1,A:BI V:UNI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/13-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/13-UP,,IS-1,A:BI V:UNI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/14-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/14-UP,,IS-1,A:BI V:UNI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/15-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/15-UP,,IS-1,A:BI V:UNI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/17-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-60/17-UP,,IS-1,A:BI V:UNI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SL-65/17-BP,,IS-1,A:BI V:BI,Passive,ENDO,SIL,VDD
"Biotronick, Inc.",,SR-53-BP,,IS-1,BI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,SR-53-UP,,IS-1,UNI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,SR-60-BP,,IS-1,BI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,SR-60-UP,,IS-1,UNI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,SX-60-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,TIJ-45-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,TIJ-53-BP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,TIJ-53-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,TIJ-60-BP,,IS-1,BI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,TIJ-60-UP,,IS-1,UNI,J+Tines,ENDO,SIL,RA
"Biotronick, Inc.",,TIR-53-A,,5 mm,UNI,Tines,ENDO,UNK,UNK
"Biotronick, Inc.",,TIR-53-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,TIR-53-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,TIR-60-A,,5 mm,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,TIR-60-BP,,IS-1,BI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,TIR-60-UP,,IS-1,UNI,Tines,ENDO,SIL,RV
"Biotronick, Inc.",,TIR-85-UP,,IS-1,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,y-53/S-BP,,IS-1,BI,Screw,UNK,UNK,UNK
"Biotronick, Inc.",,y-53-BP,,IS-1,BI,Ext/Ret Screw,ENDO,SIL,RV
"Biotronick, Inc.",,y-53-UP,,IS-1,UNI,Screw,UNK,UNK,UNK
"Biotronick, Inc.",,y-60/15-BP,,IS-1,BI,Screw,UNK,UNK,UNK
"Biotronick, Inc.",,y-60/S-BP,,IS-1,BI,Screw,UNK,UNK,UNK
"Biotronick, Inc.",,y-60-A,,5 mm,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,y-60-BP,,IS-1,BI,Fixed Screw,ENDO,SIL,RV
"Biotronick, Inc.",,y-60-UP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,y-60-VSUP,,IS-1,UNI,Screw,ENDO,SIL,RV
"Biotronick, Inc.",,yC-60-A,,5 mm,UNI,Passive,ENDO,SIL,RV
"Biotronick, Inc.",,yP-53-BP,,IS-1,BI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,yP-53-UP,,IS-1,UNI,Retract. Screw,ENDO,SIL,RV
"Biotronick, Inc.",,yP-60-BP,,IS-1,BI,Retract. Screw,ENDO,SIL,RV
