Manufacturer,Model Number,Name,NBG Code,X-ray/Serial ID,Sense / Pace Connector RA,Sense / Pace Connector RV,Detach Tools,Non MAG Rate BOS,Non MAG Rate RRT/EOS,MAG Rate BOS,MAG Rate RRT/EOS,RRT/EOS Behavior,RRT/EOS Longetivity
"Biotronik, Inc.",112 961,Thermos M 02,SSI,CE,IS-1 BI,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",112 961,Thermos M 02,SSIR,CE,IS-1 BI,IS-1 UNI/BI ,#2,PR,PR-11% (SSI),PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",113,Ergos 02 BP,DDDR,None,IS-1 BI,IS-1 BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",113 153,Gemnos 04,DDDC,AK,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",113 403,Metros S 01,SSIR,CL,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",113 714,Pikos LP 01,SSIC,EK,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",113 716,Pikos LP E 01,SSIC,PA,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",113 718,Pikos XLP 01,SSIC,EL,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",113 720,Pikos XLP E 01,SSIC,EP,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",113 850,Ergos S 03,DDDR,EA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",113 870,Metros TC 01,SSIR,KE,None,IS-1 UNI/BI ,#2,PR,PR-11%,PR,PR-11%,"B, 11%",
"Biotronik, Inc.",113 873,Gemnos TC 04,DDDCP KC,,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",113 875,Ergos TC 03,DDDR KA,,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",114 141,Pikos 01A,SSIC,CA,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"La, 11%, J",
"Biotronik, Inc.",114 143,Gemnos 04A,DDDC,AK,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",115,Ergos 02 A,DDDR,None,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"B, 11%",
"Biotronik, Inc.",115 186,Dromos 03,VDD,PC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11%,PR,PR-11%,"C, 11%",
"Biotronik, Inc.",116 488,Dromos SL,VVDC,CH,IS-1 BI,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"C, 11%",
"Biotronik, Inc.",116 703,Dromos DR,DDDR,LP,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11%,PR,PR-11%,"C, 11%",
"Biotronik, Inc.",116 705,Dromos DR A,DDDR,LP,5/6 mm UNI,5/6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"C, 11%",
"Biotronik, Inc.",116 709,Dromos SR B,SSIR,LK,None,5/6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"C, 11%",
"Biotronik, Inc.",120 070,Actros SR B,SSIR,LC,None,5/6 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",120 082,Actros SR,SSIR,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",120 083,Actros DR,DDDR,LC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",120 084,Actros DR,DDDR,LC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",120 085,Actros SLR,VDDR,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",7.4
"Biotronik, Inc.",120 086,Actros SLR,VDDR,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",7.3
"Biotronik, Inc.",120 741,Actros D,DDD,LC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.6
"Biotronik, Inc.",120 742,Actros D,DDD,LC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",120 744,Actros S,SSI,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.3
"Biotronik, Inc.",120 745,Actros S,SSI,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.2
"Biotronik, Inc.",121,Archos 06 A ,AAI,None,5 mm UNI,None,#2,72,68,72,68,"B, 6%",
"Biotronik, Inc.",121 722,Kairos D ,DDDC,LA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",121 723,Kairos D ,DDDC,LA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",121 725,Kairos DR ,DDDR,LA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.4
"Biotronik, Inc.",121 726,Kairos DR ,DDDR,LA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.4
"Biotronik, Inc.",121 728,Kairos S ,SSIC,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",121 729,Kairos S ,SSIC,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",121 731,Kairos SL ,VDDC,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",7.5
"Biotronik, Inc.",121 732,Kairos SL ,VDDC,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",7.5
"Biotronik, Inc.",121 734,Kairos SR ,SSIR,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8
"Biotronik, Inc.",121 735,Kairos SR ,SSIR,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8
"Biotronik, Inc.",121 889,Actros D-A ,DDD,LC,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",121 891,Actros S-B ,SSI,LC,None,5/6 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",121 993,Kairos DR ,DDDR,LA,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.4
"Biotronik, Inc.",121 994,Kairos S ,VVI,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (VVI),PR,PR-11% (VOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",121 996,Kairos SR ,VVIR,LA,None,IS-1 UNI/BI,#2,PR,PR-11% (VVI),PR,PR-11% (VOO),"B,  11%,   Jb",8
"Biotronik, Inc.",121B,Archos 06 B ,AAI,None,6 mm UNI,None,#2,72,68,72,68,"B, 6%",
"Biotronik, Inc.",122,Eikos 04 A ,AAIM,None,5 mm UNI,None,#2,PR,PR-6%,PR,PR-6%,"B, 6%",
"Biotronik, Inc.",122,Eikos 04 B,AAIM,None,6 mm UNI,None,#2,PR,PR-6%,PR,PR-6%,"B, 6%",
"Biotronik, Inc.",122 069,Actros DR- A,DDDR,LC,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 126,BA03,DDDR,EE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",
"Biotronik, Inc.",122 276,Actros DR- B,DDDR,LC,5/6 mm Unipolar,5/6 mm Unipolar,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 277,Kairos D-B,DDDC,LA,5/6 mm Unipolar,5/6 mm Unipolar,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 278,Kairos DR-B,DDDR,LA,5/6 mm Unipolar,5/6 mm Unipolar,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.4
"Biotronik, Inc.",122 311,Actros DR+,DDDR,LC,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 313,Actros S+,SSI,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.2
"Biotronik, Inc.",122 314,Actros SR+,SSIR,LC,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",122 315,Actros SR+- B,SSIR,LC,None,5/6 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",122 390,Kairos D-A,DDDC,LA,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 392,Kairos DR-A,DDDR,LA,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.4
"Biotronik, Inc.",122 397,Kairos S-A,SSIC,LA,None,5 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",122 399,Kairos S-B,SSIC,LA,None,5/6 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8.1
"Biotronik, Inc.",122 401,Kairos SR-A,SSIR,LA,None,5 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8
"Biotronik, Inc.",122 403,Kairos SR-B,SSIR,LA,None,5/6 mm UNI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",8
"Biotronik, Inc.",122 445,Actros DR+- B,DDDR,LC,5/6 mm Unipolar,5/6 mm Unipolar,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 447,Philos D,DDD,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 448,Philos D,DDD,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 450,Philos DR,DDDR,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 451,Philos DR,DDDR,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",122 453,Philos S,SSI,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",122 454,Philos S,SSI,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",122 456,Philos SLR,VDDR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",6.8
"Biotronik, Inc.",122 457,Philos SLR,VDDR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",6.8
"Biotronik, Inc.",122 459,Philos SR,SSIR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",122 460,Philos SR,SSIR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",122 544,Philos DR-T,VDDR,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",124,Diplos 04,DDDM,None,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",124,Diplos 04,DVI,None,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VVI),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",124,Diplos 04,VVI,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, Jb",
"Biotronik, Inc.",125,Leptos A,VVI,None,None,5 mm UNI,#2,70,61,70,61,"B, 12%, J",
"Biotronik, Inc.",126,Leptos 01 B ,VVI,None,None,6 mm UNI,#2,70,61,70,61,"B, 12%, J",
"Biotronik, Inc.",129,Kalos 03  VVIM ,ABP,None,None,5 mm Bif BI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",130,Leptos ABP ,VVI,None,,5 mm Bif BI,,70,61,70,61,"B, 12%, J",
"Biotronik, Inc.",131,Leukos 03 ABP,VVl ,None,None,5 mm Bif BI,#2,72,68,72,68,"B, 6%, J",
"Biotronik, Inc.",145/8,Diplos 05,DDDC ,None,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",146,Diplos 05 B,DDDC ,None,6 mm UNI,6 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",151,Diplos M 05 UP,DDDC,None,IS-1 UNI,IS-1 UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",151,Dromos,VAT ,None,Bayonet UNI,Bayonet UNI,None,60,55,60,55,"C, 5 ppm",
"Biotronik, Inc.",151,Dromos 02,VAT ,None,Bayonet UNI,Bayonet UNI,None,60,54,60,54,"C, 10%",
"Biotronik, Inc.",155,Diplos M 05 A,DDDC ,None,5 mm UNI,5 mm UNI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",160,Neos LP 01 ABP,VVIM ,None,None,5 mm Bif BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",165,Neos LP 01 A,VVIM ,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",166,Neos LP 01 B,VVIM ,None,None,6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",168,Gemnos,DDDC ,None,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (DOO),"La, 11%",
"Biotronik, Inc.",178,Diplos 06,DDDCP ,None,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B, 11%, Jb",
"Biotronik, Inc.",200,Kalos 04 ABP,VVIM,None,None,5 mm Bif BI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",205,Kalos 04 A,VVIM,None,None,5 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",206,Kalos 04 B,VVIM,None,None,6 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",211,Leios 03 A,VVI,None,None,5 mm UNI,#2,72,68,72,68,"B, 6%",
"Biotronik, Inc.",211,Leios 03 B,VVI,None,None,6 mm UNI,#2,72,68,72,68,"B, 6%",
"Biotronik, Inc.",211,Kalos 05 UP,VVIM,None,None,IS-1 UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",213,Kalos 05 BP,VVIM,None,None,IS-1 BI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",215,Kalos 05 A,VVIM,None,None,5 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",216,Kalos 05 B,VVIM,None,None,6 mm UNI,#2,PR,PR-6%,PR,PR-6%,"B, 6%, J",
"Biotronik, Inc.",300,Trios M 01 ABP,VVIP,None,None,5 mm Bif BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",301,Trios M 01 UP,VVIP,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",303,Trios M 01 BP,VVIP,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",305,Trios M 01 A VVIP,,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",306,Trios M 01 B VVIP,,None,None,6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",311,Trios 02 UP VVIP,,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",313,Trios 02 BP VVIP,,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",315,Trios 02 A VVIP,,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",331 443,Philos DR DDDR,,LE,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",331 445,Philos SLR,VDDR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",6.8
"Biotronik, Inc.",331 446,Philos SR,SSIR,LE,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",331 598,Philos DR-B,DDDR,LE,6 mm Unipolar,6 mm Unipolar,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",331 599,Philos SR-B,SSIR,LE,None,6 mm Unipolar,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.6
"Biotronik, Inc.",338 843,Axios D,DDDM,ER,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",338 845,Axios DR,DDDR,ER,IS-1 UNI/BI,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",5.5
"Biotronik, Inc.",338 849,Axios SLR,VDDR,ER,None,IS-1 UNI/BI,#2,PR,PR-11% (VDD),PR,PR-11% (VOO),"B,  11%,   Jb",6.8
"Biotronik, Inc.",338 851,Axios S,VVIM,ER,None,IS-1 UNI/BI,#2,PR,PR-11% (VVI),PR,PR-11% (VOO),"B,  11%,   Jb",6.7
"Biotronik, Inc.",338 851,Axios SR,SSIR,ER,None,IS-1 UNI/BI,#2,PR,PR-11% (SSI),PR,PR-11% (SOO),"B,  11%,   Jb",6.7
"Biotronik, Inc.",343,Chronos 04,VVI,BKC5,None,Bayonet UNI,None,72,65,72,65,"C, 9%",
"Biotronik, Inc.",343L,IDP-54L,VVI,None,None,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",343L,IDP-54L1,VVI,None,None,Bayonet UNI,None,72,63,72,63,"C, 12%",
"Biotronik, Inc.",344L,IKP-53,VDT,None,Bayonet UNI,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",344L,IKP-51,VOO,None,None,Bayonet UNI,None,70,61,,,"C, 12%",
"Biotronik, Inc.",344L,IDP-84,VVI,None,None,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",344L,IDP-94,VVI,None,None,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",344L,IDP-144,VVI,None,None,Bayonet UNI,None,72,63,72,63,"C, 12%",
"Biotronik, Inc.",344L,IKP-54,VVI,None,None,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",344L,IKP-52,VVT,None,None,Bayonet UNI,None,70,61,70,61,"C, 12%",
"Biotronik, Inc.",400,Neos M 01 ABP,SSIC,None,None,5 mm Bif BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",401,Neos M 01 UP,SSIC,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",403,Neos M 01 BP,SSIC,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",405,Neos M 01 A,SSIC,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",406,Neos M 01 B,SSIC,None,None,6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",500,Neos 01 ABP,SSIM,None,None,5 mm Bif BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",501,Neos 01 UP,SSIC,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",503,Neos 01 BP,SSIC,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",505,Neos 01 A,SSIM,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",506,Neos 01 B,SSIC,None,None,6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",511,Neos 02 UP,SSIC,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",513,Neos 02 BP,SSIC,None,None,IS-1 BI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",515,Neos 02 A,SSIC,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",516,Neos 02 B,SSIC,None,None,5/6 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",601,Mikros 02 UP,SSIC,None,None,IS-1 UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",603,Mikros 02 BP,SSIC,None,,IS-1 BI,,PR,PR-11%,PR,PR-11%,"B, 11%, J",
"Biotronik, Inc.",605,Mikros 02 A,SSIC,None,None,5 mm UNI,#2,PR,PR-11%,PR,PR-11%,"B, 11%, J",
